invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Revenue,Age_Group
I100008,C199951,Male,65,Clothing,5,1500.4,Cash,2022-07-10 00:00:00,Emaar Square Mall,7502,56+
I100014,C138893,Male,55,Cosmetics,5,203.3,Cash,2021-06-18 00:00:00,Viaport Outlet,1016.5,46-55
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,2021-03-04 00:00:00,Mall of Istanbul,1200.32,26-35
I100024,C244411,Female,67,Books,3,45.45,Credit Card,2023-01-05 00:00:00,Emaar Square Mall,136.35,56+
I100027,C150002,Female,19,Technology,4,4200,Cash,2022-05-18 00:00:00,Mall of Istanbul,16800,18-25
I100028,C325553,Female,18,Clothing,1,300.08,Credit Card,2021-06-19 00:00:00,Metrocity,300.08,<18
I100031,C378408,Male,18,Food & Beverage,3,15.69,Credit Card,2022-06-23 00:00:00,Emaar Square Mall,47.07,<18
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,2021-10-19 00:00:00,Zorlu Center,83.68,56+
I100037,C122873,Female,63,Clothing,1,300.08,Debit Card,2021-06-06 00:00:00,Kanyon,300.08,56+
I100041,C326923,Female,50,Cosmetics,3,121.98,Cash,2022-07-24 00:00:00,Mall of Istanbul,365.94,46-55
I100049,C297871,Male,39,Shoes,1,600.17,Debit Card,2021-12-26 00:00:00,Mall of Istanbul,600.17,36-45
I100053,C217294,Female,21,Cosmetics,3,121.98,Credit Card,2023-01-02 00:00:00,Metrocity,365.94,18-25
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,2021-10-13 00:00:00,Forum Istanbul,1200.32,18-25
I100059,C292544,Female,52,Souvenir,3,35.19,Debit Card,2021-06-14 00:00:00,Metrocity,105.57,46-55
I100068,C647308,Female,52,Toys,2,71.68,Credit Card,2021-08-13 00:00:00,Metropol AVM,143.36,46-55
I100071,C522050,Female,30,Clothing,3,900.24,Cash,2021-10-16 00:00:00,Mall of Istanbul,2700.72,26-35
